Originating Time,Confidence,AU04_i,AU04_o,AU06_i,AU06_o,AU07_i,AU07_o,AU10_i,AU10_o,AU12_i,AU12_o,AU14_i,AU14_o,AU01_i,AU01_o,AU02_i,AU02_o,AU05_i,AU05_o,AU09_i,AU09_o,AU15_i,AU15_o,AU17_i,AU17_o,AU20_i,AU20_o,AU23_i,AU23_o,AU25_i,AU25_o,AU26_i,AU26_o,AU45_i,AU45_o
0,0.975000024,1.14091042,1,0,0,0,1,0,0,0,0,0,0,2.446927768,1,1.261186194,1,0.531691984,0,0,0,1.429815143,1,0,0,0,0,0,0,0,0,1.005433306,1,1.597055785,1
0.334,0.975000024,1.356949511,1,0,0,1.175588496,1,0,0,0,0,0,0,2.068853614,1,1.334407142,1,0.752063167,1,0,0,1.77706297,1,0,0,0,0,0,0,0,0,0.629649208,1,1.072620321,1
0.667,0.975000024,1.724101323,1,0,0,0.230328168,1,0,0,0,0,0,0,2.34375178,1,0.820781982,1,0.310926283,0,0,0,2.844277343,1,0,0,0,0,0,0,0,0,0.959575686,1,1.09497972,1
1.001,0.975000024,1.194534955,1,0,0,0,0,0,0,0,0,0,0,3.724584594,1,2.285029984,1,0.021678803,1,0,0,1.975457368,1,0,0,0,0,0,0,0,0,0.79786644,1,0.633472038,1
1.334,0.975000024,1.288042503,1,0,0,0.080605921,1,0,0,0,0,0,0,2.174252559,1,1.452716408,1,0.329693954,0,0,0,0.426274129,0,0,0,0.154792881,0,0,0,0,0,0.475621793,1,0.251236856,1
1.668,0.975000024,1.340006149,1,0,0,0.555021262,1,0,0,0,0,0,0,2.804090619,1,1.915861186,1,0.188949643,0,0,0,0.219228108,0,0,0,0.86138044,1,0,0,0,0,0.701076709,1,1.342516183,1
2.001,0.975000024,1.2570868,1,0,0,0.589069719,1,0,0,0,0,0,0,2.538263818,1,1.257521246,1,0.437877164,0,0,0,0,0,0,0,0.003870524,0,0,0,0,0,0.04410663,1,1.23000881,1
2.335,0.975000024,1.367454008,1,0,0,0.639817264,0,0,0,0,0,0,0,2.586985047,1,1.821474755,1,0.653701377,1,0,0,0.234192445,0,0,0,0,0,0,0,0,0,0.466679263,1,0.648474421,1
2.669,0.975000024,1.397065593,1,0,0,0.74171727,1,0,0,0,0,0,0,2.761474484,1,1.674467317,1,0.922674339,1,0,0,0.845142032,0,0,0,0.669499608,1,0,0,0,0,0.173512499,1,0.366415664,1
3.002,0.975000024,1.04657627,1,0,0,0,1,0,0,0,0,0,0,2.489651752,1,2.347345623,1,0.633388548,0,0,0,0.757550818,0,0,0,0,0,0,0,0,0,0.198609504,1,0.899764445,1
3.336,0.975000024,0.311690092,1,0,0,0.588697576,1,0,0,0,0,0,0,2.669941649,1,2.235221448,1,0.548948036,0,0,0,1.444596431,0,0,0,0,0,0,0,0,0,0.135806699,1,0.299109925,1
3.669,0.975000024,0.946348092,1,0,0,0.929187063,1,0,0,0,0,0,0,2.516573832,1,1.645372535,1,0.349235164,0,0,0,2.627061381,0,0,0,0.126996825,0,0,0,0,0,0.270299801,1,0.567133596,1
4.003,0.975000024,0.480489761,1,0,0,0.790989405,1,0,0,0,0,0,0,2.306581327,1,1.846448484,1,1.011672985,1,0.093259308,0,2.015340151,1,0,0,0,0,0,0,0,0,0.056135167,1,1.36941244,1
4.336,0.975000024,1.18207958,1,0.08365547,0,0.376626115,1,0,0,0,0,0,0,2.010118175,1,1.135105561,1,0.68251517,0,0,0,1.548821635,0,0,0,0,0,0,0,0,0,0.057994099,1,0.961240507,1
4.67,0.975000024,0.996311184,1,0.131281512,0,0.991340865,1,0,0,0,0,0,0,2.313776049,1,0.704273355,1,1.116517478,1,0.159637351,0,1.189718413,0,0,0,0,0,0,0,0,0,0,0,1.290683844,1
5.004,0.975000024,1.016962208,1,0,0,0.427794239,1,0,0,0,0,0,0,2.227838138,1,2.0113178,1,0.820158864,1,0.053226357,0,1.388437705,0,0,0,0,0,0,0,0,0,0,0,1.152411516,1
5.337,0.975000024,1.013053493,1,0,0,0.97931304,1,0,0,0,0,0,0,2.217011816,1,1.552890966,1,0.951552997,0,0.148097203,0,1.402334185,1,0,0,0,0,0,0,0,0,0,1,1.660428817,1
5.671,0.975000024,1.406503442,1,0,0,1.331786051,1,0,0,0,0,0,0,2.330180451,1,1.892163807,1,0.891513415,1,0.228426065,0,1.586381304,1,0,0,0,0,0,0,0,0,0,0,1.780885769,1
