Originating Time,Confidence,AU04_i,AU04_o,AU06_i,AU06_o,AU07_i,AU07_o,AU10_i,AU10_o,AU12_i,AU12_o,AU14_i,AU14_o,AU01_i,AU01_o,AU02_i,AU02_o,AU05_i,AU05_o,AU09_i,AU09_o,AU15_i,AU15_o,AU17_i,AU17_o,AU20_i,AU20_o,AU23_i,AU23_o,AU25_i,AU25_o,AU26_i,AU26_o,AU45_i,AU45_o
0,0.88,0.18,0,0.89,0,1.08,1,0.66,1,0.99,1,1.55,1,0.03,0,0,0,0,0,0,0,0,0,0.27,0,1.01,1,0.69,0,0.46,1,1.1,0,0,0
0.334,0.88,0.93,0,1.03,0,0.98,1,1.2,1,1.47,1,2.37,1,0.16,0,0.43,1,0,0,0,0,0,0,0.36,0,0.16,0,0,0,0.07,1,0.08,0,0.01,0
0.667,0.88,1.03,0,1.43,1,1.25,1,1.04,1,1.44,1,1.8,1,0.02,0,0.02,0,0,0,0.29,0,0.04,0,0.38,0,0,0,0,1,0.15,1,0.17,0,0.03,0
1.001,0.88,1,0,1.42,1,1.2,1,0.99,1,1.4,1,1.52,1,0,0,0,0,0,0,0.23,0,0.16,0,0.35,0,0.13,0,0,1,0.68,1,0.16,0,0,0
1.335,0.88,0.98,0,1.47,1,1.12,1,0.97,1,1.47,1,1.6,1,0,0,0,0,0,0,0.35,0,0,0,0.16,0,0.11,0,0,0,0.53,1,0.21,0,0,1
1.668,0.88,1.37,0,1.53,1,1.81,1,0.9,1,1.33,1,1.56,1,0,0,0,0,0,0,0.16,0,0,1,0.34,0,0.37,0,0.15,0,1.22,1,0.82,0,0,1
2.002,0.93,0.86,0,1.04,1,1.3,1,0.78,1,1.06,1,0.78,1,0,0,0,0,0,0,0.3,0,0.01,1,0.49,1,0.01,0,0,0,0.17,1,0.33,0,0,1
2.336,0.93,1.22,0,1.48,1,2.01,1,0.97,1,1.47,1,1.74,1,0,0,0,0,0,0,1.03,1,0,0,0.2,0,0,0,0,0,0.35,1,0.26,0,0,0
2.669,0.93,0.66,0,1.55,1,2.03,1,1.35,1,1.62,1,0.93,1,0,0,0,0,0,0,0.51,1,0.25,1,0.47,1,0.08,0,0,0,0.58,1,0.32,0,0,1
3.003,0.93,0.56,0,1.4,1,1.85,1,1.27,1,1.73,1,0.84,1,0,0,0,0,0,0,0.38,0,0.13,1,0.37,0,0.18,0,0,0,0.61,1,0.06,0,0,1
3.337,0.88,0.5,0,1.13,1,0.8,1,1.84,1,1.39,1,0.99,1,0.09,0,0,0,0,0,0.03,0,0.23,1,0.41,0,0.31,0,0,0,0.57,1,0.27,0,0.04,0
3.67,0.88,0.62,0,0.88,0,0.5,1,1.68,1,1.26,1,1.64,1,0.04,0,0,0,0,0,0.03,0,0.07,0,0.91,0,0.04,0,0,1,0,0,0.01,0,0.13,0
4.004,0.98,0.26,0,1.46,1,1.64,1,1.9,1,1.81,1,0.28,1,0,0,0,0,0,0,0.05,0,0,0,0.24,0,0,0,0,0,0.99,1,0.01,0,0,0
4.338,0.98,0.01,0,0.87,1,1.72,1,1.72,1,1.93,1,0.6,1,0,0,0,1,0.01,0,0,0,0,1,0.77,1,0,0,0,0,0.82,1,0.19,0,0,0
4.671,0.98,0.06,0,0.5,1,1.83,1,0.73,1,1.51,1,1.15,1,0,0,0,0,0.17,1,0,0,0.07,1,0.4,1,0,0,0,0,0.73,1,0.46,0,0,1
5.005,0.98,0,0,0.47,1,0.88,1,0.19,0,1.12,1,1.46,1,0,0,0,0,0.41,1,0,0,0,0,0.37,1,0,1,0,1,0.7,0,0.08,0,0,0
5.339,0.98,0.01,0,0.31,1,1.3,1,0.09,0,0.91,1,0.7,1,0,0,0,0,0.08,1,0,0,0,0,0.46,1,0,0,0.47,1,0.53,0,0.13,0,0.25,1
5.672,0.98,0.06,0,0,0,1.12,1,0,0,0.79,1,0.51,1,0,0,0,0,0.04,1,0,0,0,1,0.05,1,0,0,0,0,0.27,0,0.55,0,0,1
6.006,0.98,0.01,0,0,0,0.33,1,1.55,1,1.26,1,0.39,1,0,1,0,0,0.12,1,0,0,0,1,0.84,0,0,0,0,0,1,0,0.58,0,0,0
6.34,0.98,0.5,1,0.01,0,2.09,1,2.2,1,0.85,0,0,0,0.21,1,0,0,0,1,0,0,0.36,1,1.84,1,0.05,0,0,0,1,0,0.63,0,0.26,0
6.673,0.98,0.78,1,0,0,2.16,1,2.61,1,0.87,0,0,0,0.91,1,0,0,0,0,0,0,0.62,1,2.12,1,0,0,0.03,0,1.06,0,0.88,0,0.48,0
7.007,0.98,0.13,1,0,0,0.14,0,1.45,1,1.08,1,0,0,0.13,1,0,1,0.34,1,0,0,0,0,0.65,0,0.2,0,0,0,0.84,0,0.05,0,0,0
7.341,0.98,0.2,1,0,0,0,1,0.39,1,0.91,1,0,0,0.02,1,0,1,0.44,1,0.02,0,0,0,0,0,0.02,0,0,0,0.41,0,0,0,0,0
7.674,0.98,0,0,0,0,0.1,1,0.02,0,0.57,1,0.12,1,0.06,1,0,0,0.35,1,0.14,0,0.04,0,0,0,0,0,0,0,0.52,0,0.48,0,0,0
8.008,0.98,0.1,0,0,0,0.15,1,0,0,0.33,1,0,0,0.15,1,0,1,0.43,1,0,0,0,0,0,0,0,0,0,0,1.03,0,1.09,1,0,0
8.342,0.98,0.02,0,0,0,0.06,1,0,0,0.16,0,0,0,0.16,1,0,1,0.7,1,0,0,0.01,0,0,0,0,0,0,0,1.17,1,1.52,1,0,1
8.675,0.98,0.01,0,0,0,0.18,1,0,0,0.07,0,0,0,0.21,1,0,1,0.95,1,0,0,0,0,0,0,0,0,0,0,0.55,1,1.24,1,0,1
9.009,0.98,0.05,0,0,0,0.22,1,0,0,0.04,0,0,0,0.14,1,0,1,1.25,1,0,0,0.04,0,0,0,0,0,0,0,0.44,0,0.85,0,0,1
9.343,0.98,0.34,1,0,0,0.01,1,0,0,0,0,0,0,0.11,1,0,1,1.28,1,0.03,0,0.37,0,0,0,0,0,0,0,0.41,0,0.74,0,0,1
9.676,0.98,0.11,0,0,0,0,0,0,0,0,0,0,0,0.09,1,0.35,1,1.5,1,0,0,0.49,0,0,0,0,0,0,0,0.75,0,0.31,0,0,0
10.01,0.98,0.25,1,0,0,0,0,0,0,0,0,0,0,0.4,1,0.56,1,1.98,1,0,0,0.5,0,0,0,0,0,0,0,0.57,0,0.1,0,0,0
10.344,0.98,0.21,1,0,0,0.32,0,0,0,0,0,0,0,1.53,1,2.41,1,1.96,1,0,0,0.54,0,0.06,0,0,0,0,0,0.22,0,0.16,0,0,1
10.677,0.98,0,1,0,0,0.4,0,0.01,0,0,0,0,0,0.22,1,0.71,1,1.65,1,0,0,0.12,0,0.78,1,0,0,0,0,0,0,0.7,0,0,0
11.011,0.98,0.15,0,0,0,0.17,0,0.19,0,0,0,0,0,1.48,1,1.56,1,2.71,1,0,0,0.54,0,0.67,0,0,0,0,0,1,0,0,0,0,0
11.345,0.98,0.04,1,0,0,0.23,0,0.82,1,0,0,0,0,1.14,1,0.87,1,2.71,1,0,0,0,1,0.73,0,0.06,0,0,0,1.47,0,0.03,0,0,0
11.678,0.98,0.03,0,0,0,0.24,0,0.79,1,0.25,0,0.02,0,0.48,1,0.21,1,1.63,1,0,0,0.41,1,1.02,0,0.67,0,0,0,1.4,0,1.16,0,0,0
12.012,0.98,0.36,0,0,0,0.09,0,0.77,1,0.42,0,0.46,1,0.62,1,0.8,1,1.83,1,0,0,0,1,1.14,0,0.89,0,0,0,1.18,0,1.84,1,0,0
12.346,0.98,0.43,0,0,0,0,0,0.34,0,0.42,0,1.3,1,0.51,1,1.16,1,1.33,1,0,0,0,0,0.93,0,0.12,0,0,1,0.97,0,1.6,1,0,0
12.679,0.98,0.23,0,0,0,0,0,0.26,0,0.57,0,1.37,1,0.69,1,0.99,1,2.04,1,0,0,0,1,0.74,0,0.4,0,0,1,0.8,0,1.27,1,0,0
13.013,0.98,0.63,0,0,0,0,0,0.55,0,0.5,0,1.21,1,0.65,1,0.82,1,1.31,1,0,0,0,0,0.74,0,0.31,0,0,0,0.73,0,1.19,1,0,0
13.347,0.98,0.54,0,0,0,0,0,0.94,0,0.62,0,0.17,0,0.56,1,0.69,1,1.16,1,0,0,0,0,0,0,0,0,0,0,1.74,1,0.62,1,0,0
13.68,0.98,0.41,0,0,0,0,0,0.91,1,0.71,0,0.05,0,0.27,1,0.34,1,1.07,1,0,0,0,0,0,0,0,0,0,0,1.34,0,1.04,0,0,0
14.014,0.98,0.25,0,0,0,0,0,0.22,0,0.39,0,0.15,0,0.31,1,0.82,1,0.96,1,0,0,0,0,0,0,0,0,0,0,0.82,0,0.41,0,0,0
14.348,0.98,0.02,0,0,0,0,0,0.15,0,0.3,0,0.08,1,0.38,1,0.95,1,0.59,1,0,0,0,0,0,0,0,0,0,0,0.16,0,0.45,0,0,0
14.681,0.98,0.1,0,0,0,0,1,0.25,0,0.23,0,0.05,0,0.36,1,0.94,1,0.63,1,0,0,0.01,0,0,0,0,0,0,0,0.2,0,0.27,0,0,0
15.015,0.98,0.24,0,0,0,0.84,1,0.11,0,0.25,0,0.05,1,0.42,1,0.77,1,0.42,1,0,0,0.09,0,0,0,0,0,0,0,0.03,0,0.35,0,0,0
15.349,0.98,0.61,0,0,0,1.5,1,0,0,0,0,0,1,0,1,1.1,1,0,1,0.01,0,0.18,0,0,0,0,0,0,0,0,0,0.6,0,0,1
15.682,0.88,0.44,0,0,0,1.69,1,0,0,0,0,0.1,1,0,1,0.69,1,0,1,0,0,0,0,0.03,0,0,0,0,0,0.6,0,1.06,0,0,1
16.016,0.88,0.23,0,0,0,0,0,1.71,0,0,0,0.58,1,0.56,0,1.09,0,1.9,0,0,1,2.62,1,0.56,0,0,0,2.37,1,0.97,0,0.62,0,0,0
16.35,0.98,0.36,0,0,0,0.99,1,0,0,0,0,0,0,0,1,0.04,1,0.04,1,0,0,0,0,0,0,0,0,0.33,0,0,0,0.34,0,0,0
16.683,0.98,0.65,0,0,0,0,1,0,0,0.2,1,0,0,0,0,0.37,0,0.67,1,0,0,0,0,0,0,0,0,0.76,0,0.08,0,0.09,0,0,0
17.017,0.98,0.62,1,0,0,0,0,0.69,1,0.2,0,0,0,0,1,0.09,0,1.09,1,0,0,0,0,0.15,0,0,0,0.46,0,0.93,0,0.41,0,0,1
