Originating Time,Confidence,AU04_i,AU04_o,AU06_i,AU06_o,AU07_i,AU07_o,AU10_i,AU10_o,AU12_i,AU12_o,AU14_i,AU14_o,AU01_i,AU01_o,AU02_i,AU02_o,AU05_i,AU05_o,AU09_i,AU09_o,AU15_i,AU15_o,AU17_i,AU17_o,AU20_i,AU20_o,AU23_i,AU23_o,AU25_i,AU25_o,AU26_i,AU26_o,AU45_i,AU45_o
0,0.88,0.19,1,0,0,0,0,0.15,0,0,0,1.36,1,0,0,0,0,0.64,1,0,0,0,0,0.26,0,0,0,0,0,0.21,0,0.02,0,0,0
0.334,0.93,0,0,0,0,0,0,0.19,0,0,0,0,0,0.56,0,0,0,0,1,0,0,0,0,1.48,1,0.04,0,0.15,0,0.81,0,1.56,0,0,0
0.667,0.93,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0.45,0,0,0,0.25,0,0,0,2.42,1,0,0,0,0,1.95,0,1.39,0,0,0
1.001,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.05,0,0,0,0,0,0,0,2.69,1,0.08,0,0,0,1.68,0,1.42,0,0,0
1.334,0.98,0,0,0,0,0.56,0,0.32,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.09,0,1.69,1,1.13,0,0,0,2.37,1,1.49,0,0.01,0
1.668,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.37,0,0.01,0,1.14,1,0.68,0,0,0,1.7,1,0.76,0,0.07,0
2.001,0.98,0,0,0,0,0.03,0,0,0,0.07,0,0,0,0,0,0,0,0,1,0.61,1,0.01,0,0.95,1,0.23,0,0,0,1.47,1,0.45,0,0,0
2.335,0.98,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1,0,0,0.82,1,0.22,0,0,0,1.48,1,0.27,0,0,0
2.669,0.98,0,0,0,0,0.26,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0.29,1,0,0,0.69,0,0.18,0,0,0,1.6,1,0.2,0,0,0
3.002,0.98,0,0,0,0,0.18,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0.48,1,0,0,0.91,0,0.33,0,0,0,1.39,1,0.52,0,0,0
