Originating Time,Confidence,AU04_i,AU04_o,AU06_i,AU06_o,AU07_i,AU07_o,AU10_i,AU10_o,AU12_i,AU12_o,AU14_i,AU14_o,AU01_i,AU01_o,AU02_i,AU02_o,AU05_i,AU05_o,AU09_i,AU09_o,AU15_i,AU15_o,AU17_i,AU17_o,AU20_i,AU20_o,AU23_i,AU23_o,AU25_i,AU25_o,AU26_i,AU26_o,AU45_i,AU45_o
0,0.774999976,0.212826745,1,0,0,0.55532383,0,0.63700839,0,0,0,0.424455949,0,0.498960274,0,0,0,0,1,0.55128175,0,0.519097706,1,1.158655307,0,0.216437638,0,1.621537,1,0,0,1.250518412,0,0,0
0.334,0.975000024,0.028451844,1,0,0,0,0,0.678014404,0,0,0,0.595929507,0,0,0,0,0,0.360050933,1,0.507553824,0,0.435674434,1,0.577502757,0,0.367096156,0,1.365503007,0,0,0,0.716876124,0,0,0
0.667,0.875,0,1,0,0,0.822649199,0,0.240978811,0,0,0,0,0,0.107878072,0,0,1,0.410309393,1,0.582720311,0,0.949824591,1,1.133938342,0,0.399644322,0,2.048994677,0,0,0,0.790099237,0,0,0
1.001,0.875,0.489932291,1,0.4224024,0,0.659709019,1,0.251210427,0,0,0,0,0,0.782567564,1,0.867050955,0,0,0,0.6165985,0,1.854085268,1,2.79678669,1,1.074143004,0,2.28721989,0,0.151049411,0,0.261536064,0,0,0
1.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.668,0.875,0,0,0.923115391,0,0,0,0.91442863,0,0.536618638,0,0,0,0,0,1.194141507,1,0,1,0.45399193,0,0,1,1.959749943,1,0.883335645,1,0.812457722,0,0,0,0.033977943,0,0,0
2.001,0.875,0.345843399,0,0.276640246,0,0.204169911,1,0.086929187,0,0,0,0,0,0.489097986,0,0.605327644,1,0,1,0.666331851,0,2.023553222,1,0.966717012,0,0,0,1.885747639,0,0,0,1.345290349,0,0.427307057,0
2.335,0.875,0.414809379,0,0.380753593,0,0.942785041,0,0,0,0,0,0,0,1.412491543,0,0.560033228,1,0.181080689,1,0.620369817,0,3.658101136,0,0.59100506,0,0.538724138,1,1.998652211,1,0,0,0,0,0.486037459,0
2.669,0.875,0,0,0.238462187,0,0,0,0.928108537,0,0,0,0.444273558,1,0,0,0.497281154,1,0,1,0.809343707,0,0.542022692,1,0.481058808,0,0.844640916,1,0.591196391,1,0,0,0,0,0,0
3.002,0.975000024,1.434901692,1,0.18334455,0,0.771319969,0,0.437138098,0,0,0,0,0,0.543784758,0,0.110588094,1,0,1,0,0,5,1,0.932086452,0,0,0,1.011182965,1,0,0,0,0,0,0
3.336,0.975000024,0.780623255,1,0,0,0.660442132,0,0,0,0,0,0,0,1.014247203,0,0.141223856,0,0,1,0,0,5,0,0.967893682,0,0.233631117,0,1.50257491,1,0,0,0,0,0,1
3.669,0.975000024,0.771592903,1,0.076430544,0,1.577285089,0,0.353827369,0,0,0,0,0,1.297767293,0,0.554795561,1,0,1,0,0,5,0,1.261024002,0,0.040300447,0,1.019078317,1,0,0,0,0,0,1
4.003,0.975000024,1.21212944,1,0.5516124,0,2.332881546,1,1.066182241,0,0,0,0,0,0.773661255,0,0.279187303,1,0,1,0,0,5,0,2.06934966,0,2.5708118,1,1.599321403,1,0,0,0,0,0,0
