Originating Time,Confidence,AU04_i,AU04_o,AU06_i,AU06_o,AU07_i,AU07_o,AU10_i,AU10_o,AU12_i,AU12_o,AU14_i,AU14_o,AU01_i,AU01_o,AU02_i,AU02_o,AU05_i,AU05_o,AU09_i,AU09_o,AU15_i,AU15_o,AU17_i,AU17_o,AU20_i,AU20_o,AU23_i,AU23_o,AU25_i,AU25_o,AU26_i,AU26_o,AU45_i,AU45_o
0,0.975000024,0,0,0.118053379,0,0,0,0.378050163,0,0.048474509,0,0.722871086,1,0,0,0,1,0,0,0.484738851,0,0.173189096,1,0.292380109,0,0,0,0,0,0,0,0,0,1.027585583,1
0.334,0.975000024,0,0,0,0,0,0,0.25885603,0,0,0,0.454037189,1,0.161323706,1,0.456067113,1,0,0,0.345541467,0,0.399677078,0,0.245012897,1,0,1,0,0,0,0,0,0,1.296444982,1
0.667,0.975000024,0,0,0.131243782,0,0,0,0.093479231,0,0.068472674,0,0.63753246,1,0,0,0.425378671,1,0,0,0.356930747,0,0.744910107,1,0.623477601,1,0.111702263,1,0,0,0,0,0,0,0.803669518,1
1.001,0.975000024,0,1,0,0,0,0,0,0,0,0,0.377363132,1,0,0,0.248599609,1,0,0,0.231769063,0,0.804150163,1,0.709249292,1,0,1,0,0,0,0,0,0,0.801941147,1
1.334,0.975000024,0,0,0,0,0,0,0,0,0.178498554,0,0.419925172,1,0,0,0.054857958,1,0.074367116,1,0.15030515,0,0.467851364,1,0.90839897,1,0.073827565,1,0,1,0,0,0,0,1.060519288,1
1.668,0.975000024,0,0,0,0,0,0,0,0,0,0,0.184740562,1,0,0,0,1,0.07665078,1,0.493950818,0,0.123363036,1,0.840674828,1,0,1,0,0,0,0,0,0,1.265871251,1
2.001,0.975000024,0,0,0.657679893,0,0,0,0.904355311,0,0.559070312,0,0.222724744,1,1.530798409,1,0.109267382,0,0.122626078,0,0.731874426,0,0.029504498,1,1.819726667,1,0.467923039,0,0.754150539,0,0,0,0,0,0.019982642,1
2.335,0.975000024,0,0,0.190199152,0,0.505863535,0,0.246766129,0,0,0,0.388912718,1,0.114515127,1,0,1,0.742841396,1,0.438092947,0,0.463304925,1,0.564192326,1,0,1,0,0,0,0,0,0,1.094021264,1
2.669,0.975000024,0,0,0,0,0.115118914,0,0,0,0,0,0.963071841,1,0,0,0.07677127,1,0.55258514,0,0.108761891,0,0.430764951,1,0.393016132,0,0.060323994,1,0,0,0,0,0,0,1.317158849,1
3.002,0.975000024,0,0,0,0,0,0,0,0,0.047809481,0,0.492116155,1,0,1,0.333408981,1,0.016648613,0,0.256428019,0,0.741861472,1,0.746454842,1,0.236697824,1,0,0,0,0,0,0,1.087844757,1
3.336,0.975000024,0,0,0,0,0,0,0,0,0,0,0.496623584,1,0,0,0.417457908,1,0,0,0.233852553,0,0.072593971,1,0.504972575,1,0.037211174,1,0,0,0,0,0,0,0.90584192,1
3.669,0.975000024,0,1,0.310953441,0,0.907578268,1,0,0,0.118967199,1,0.518801194,1,0.261302117,1,0.853470246,1,0.022913671,0,1.0029999,1,0.164450831,1,1.294322602,1,0.093467176,1,0,0,0,0,0,0,0.508244959,1
4.003,0.975000024,0.064619976,1,0.40181929,0,0.401410204,0,0,0,0.120629963,1,0.127173536,1,0,0,0.029377414,0,0.289341243,0,0.857839377,1,0,0,0.671918293,1,0.298399461,1,0.007888256,0,0,0,0,0,0.992369788,1
4.336,0.975000024,0,1,0.507132963,1,0.056023257,0,0.097252119,0,0.031719744,0,0.496418236,1,0,0,0.13144498,0,0,0,0.94662746,1,0.281185102,1,0.724468895,1,0.510560913,1,0.113700828,0,0,0,0,0,0.82827646,1
4.67,0.975000024,0,1,0.686283757,1,0.736764894,0,0,0,0.165500829,0,0.471776901,1,0,0,0.175715192,1,0,0,1.061423078,1,0,0,0.583979293,1,0.090645562,0,0.402738787,0,0,0,0.027086966,0,1.450792358,1
5.004,0.975000024,0,1,0.385507591,0,0,0,0,0,0.259621205,0,0.439653331,1,0,0,0.430858196,0,0,0,0.831664718,1,0,0,0.539529692,0,0,0,0.05634127,0,0,0,0.494274631,0,0.807839609,1
5.337,0.875,0,1,0.65768451,1,0.086254659,0,0,0,0.255612998,0,0.098083866,1,0,0,0,0,0.120541663,0,0.866561161,1,0.126090469,0,1.03112273,1,0.507430604,0,0.57528011,0,0,0,0,0,0.856322588,1
5.671,0.875,0,1,0.090965282,0,0.317307064,0,0,0,0,0,0,1,0.425481407,0,0.75012135,1,0.548867533,0,1.085621216,1,0,0,0.239839388,0,0.143338242,0,0.183289568,0,0,1,0.337098795,0,1.306854821,1
6.004,0.975000024,0,1,0,0,0,0,0,0,0,0,0,1,0.642745525,0,0.787089172,1,0.472462271,0,1.041217412,1,0,0,0.915964203,1,0.09835259,0,0.474547263,0,0,0,0.26213117,0,1.298080361,1
6.338,0.925000012,0,1,0.223037318,0,0.450644103,0,0,0,0,0,0,1,0,0,0.790032312,0,0.284350085,0,0.8768741,1,0,0,0.475923007,0,0.339743978,1,0.137293684,0,0,0,0.061408709,0,1.192562906,1
6.671,0.925000012,0.172824259,1,0.444862933,1,0.865296281,1,0,0,0,0,0.406746429,1,0,0,0.065624965,1,0,0,1.003329448,1,0.106473874,0,0.095435919,0,0,0,0,0,0,0,0,0,1.256230804,1
7.005,0.925000012,0,1,0.149660664,0,0,0,0,0,0.27789825,0,0.309918097,1,0,0,0,1,0.181995484,1,0.423140934,0,0,0,0,0,0,1,0,0,0,1,0,0,1.537268791,1
7.339,0.925000012,0,0,0,0,0,0,0,0,0,0,0.030193432,1,0,0,0,1,0,0,0.398527685,0,0.113680236,1,0.00816563,0,0.283060604,1,0,0,0,1,0,0,0.92254225,1
7.672,0.925000012,0,0,0.066781762,0,0,0,0,0,0.174448633,0,0.290197848,1,0,0,0,1,0.469342084,0,0,0,0.088971024,0,0,0,0.27131163,1,0,0,0,1,0,0,0.883622768,1
8.006,0.925000012,0,1,0,0,0,1,0,0,0,0,0.169463159,1,0,0,0.559198813,1,0.727403716,1,0.344039989,0,0.4972123,1,0.511462513,1,0,0,0,1,0,0,0,0,1.005885445,1
8.339,0.925000012,0,0,0,0,0,0,0,0,0,0,0.2450905,1,0,0,0,1,0.163138565,1,0.055846078,0,0,1,0.18585275,1,0.194068843,1,0,0,0,0,0,0,1.13423458,1
8.673,0.925000012,0,0,0,0,0,0,0,0,0,0,0.16705999,1,0,0,0.024986934,1,0.299403664,1,0.298126479,0,0,0,0,0,0.21312726,1,0,0,0,0,0,0,1.360976382,1
9.007,0.925000012,0,0,0,0,0,0,0,0,0,0,0.174318418,1,0,0,0.085398451,1,0.627162029,1,0.259667474,0,0.217070336,0,0.011000082,0,0.102474821,1,0,0,0,0,0,0,1.104341594,1
9.34,0.875,0,0,0.210824052,0,0,0,0.000464044,0,0,0,0,1,0,0,0,1,0,1,0.522911316,0,0,1,0.314549398,1,0,1,0,0,0,0,0,0,0.057311476,1
9.674,0.925000012,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.426591005,0,0,0,0,0,0.104219501,1,0,0,0,0,0,0,0.983179328,1
10.007,0.925000012,0.053022777,1,0,0,0,0,0,0,0,0,0,1,0,0,0.463600071,1,0,0,0.611564567,1,0,0,0.056099014,0,0,1,0,0,0,0,0,0,0.83083291,1
10.341,0.925000012,0,0,0,0,0,0,0,0,0,0,0.076012157,1,0,0,0,1,0,1,0.490589641,0,0,0,0.182328862,0,0.028767313,1,0,0,0,0,0,0,1.570887816,1
10.674,0.925000012,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.328788093,0,0,0,0.072967926,0,0.078040885,1,0,1,0,0,0,0,1.0050296,1
11.008,0.925000012,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.00111824,0,0.670670036,1,0,1,0,0,0,0,0.830511339,1
11.342,0.975000024,0,1,0,0,0.256234782,0,0,0,0.060142908,0,0,0,0.990068033,1,0.426782339,1,0.643485153,0,0.774860329,0,0.082448116,0,1.199050529,1,0.047727734,0,0.339276254,0,0.216812519,1,0.168416986,0,1.105383604,1
11.675,0.975000024,0,0,0,0,0.851320909,0,0.05152898,0,0,0,0,0,0,0,0.410361247,1,0.165263749,1,0.738785535,0,0.618797866,1,0.00825306,0,1.204959374,0,0,0,0,0,0,0,0,0
12.009,0.975000024,0,0,0,0,0.810491012,0,0,1,0,0,0,1,0,0,0.467042214,1,0,0,1.103749356,1,0.235963323,1,0,0,1.153945222,1,0,1,0,0,0,0,0,1
12.342,0.975000024,0,0,0,0,1.008562293,1,0,1,0,0,0.849607102,1,0.178119223,0,0.705583671,1,0,0,0.6048608,1,0.86473167,1,0.364103144,1,1.093527789,1,0,1,0,1,0,0,0,1
12.676,0.975000024,0,0,0,0,1.641335581,1,0.131253145,1,0,0,0.069181214,0,0.113495977,0,0.638360697,1,0,1,0.868269993,1,0.878076489,1,0.577600799,1,0.933127722,1,0,1,0,1,0,0,0,1
13.009,0.975000024,0,0,0.14694718,0,0.687824396,0,0,0,0,0,0,0,0,0,0.637434977,1,0,1,0.539946711,0,0.65433029,1,0.344664873,1,1.418742001,1,0,1,0,1,0,0,0.472219325,1
13.343,0.925000012,0,0,0.100189283,0,1.322298564,0,0,1,0,0,0,0,0,0,0.171919879,1,0,1,0.744172083,1,0.55606567,1,0,1,0.638243642,1,0,1,0,1,0,0,0.283083858,1
13.677,0.975000024,0,0,0,0,0.117617129,0,0,1,0,0,0.865478018,1,0,0,0.567987003,1,0,1,0.677423055,1,0.707938394,1,0.304143794,1,0.747888637,1,0,1,0,1,0,0,0,1
14.01,0.975000024,0,0,0,0,0.934373018,0,0.298216184,1,0,0,0.432950327,1,0,0,0,0,0,1,1.072573628,1,0.140190251,1,0,0,0,0,0,1,0,0,0,0,0,0
14.344,0.975000024,0,0,0,0,0.160649473,0,0.183191268,1,0,0,0.200239515,1,0,0,0.155483331,1,0,1,0.908252565,1,0.467425158,1,0.056922377,0,0.274678543,1,0,1,0,0,0,0,0,1
14.677,0.975000024,0,0,0,0,0.265665793,0,0,1,0,0,0.441566823,0,0,0,0,0,0,1,0.688225729,1,0.246883965,1,0.033061426,1,0.510418645,1,0,0,0,1,0,0,0,1
15.011,0.975000024,0,0,0,0,0.821448489,0,0,1,0,0,0.992790934,1,0,0,0,0,0,0,0.58397518,1,0.675458472,1,0,0,1.069673939,1,0,0,0,1,0,0,0,1
15.344,0.975000024,0,0,0.110684175,0,1.039401249,0,0,1,0,0,0.73534074,1,0,0,0.019646477,1,0,0,0.55016324,1,1.062724576,1,0.051976835,1,0.759499183,1,0,1,0.10447647,1,0,0,0.044116824,1
15.678,0.975000024,0,0,0,0,1.34277283,0,0,0,0,0,0.186016615,1,0,0,0.384607809,0,0,0,0.495028545,1,0.912272775,1,0.172232401,1,0.610928428,1,0,1,0,1,0,0,0,1
16.012,0.975000024,0,0,0.023414093,0,1.081944289,0,0,0,0,0,0,1,0,0,0.629446429,1,0,1,0.930389416,1,0.527461116,1,0,0,0.454276215,1,0,1,0,1,0,0,0,1
16.345,0.975000024,0,0,0,0,1.440060003,0,0,0,0,0,0.462066678,1,0.728060302,0,0.964474695,1,0,1,0.654752848,0,0.692349741,1,0.437872265,1,0.169116185,1,0,1,0,1,0,0,0.352084859,1
16.679,0.975000024,0,0,0.169888596,0,1.869793078,1,0,0,0,0,0,0,0,0,0.778851021,1,0,1,0.523688599,1,0.597279989,1,0.051961233,1,0.700289879,1,0,1,0,1,0,0,0,1
17.012,0.975000024,0,0,0.33473717,0,0.899703116,1,0,0,0,0,0,0,0,0,0.522176098,1,0,0,0.701669185,1,0.364871896,1,0.418513532,1,0.566314586,1,0,0,0,1,0,0,0.130375331,1
17.346,0.975000024,0.117824681,0,0.151234151,0,1.629921683,1,0,0,0,0,0,0,0,0,0.232474652,1,0,1,0.693974094,1,0.603160461,1,0,0,0.456429551,1,0,1,0,1,0,0,0.309701761,1
17.679,0.975000024,0.773618118,1,0,0,0.184900838,0,0.572889456,0,0,0,0,0,0.917533877,1,0.310382343,1,0,0,0.300701698,0,0,1,0,0,0.394686753,0,0,0,0.239030653,0,0.251198948,0,0.113632324,0
18.013,0.975000024,0,0,0,0,1.467184096,0,0,0,0,0,0,1,0.114298365,0,0.353375367,1,0,1,1.316455753,1,0.586923155,1,0.112431617,1,0.615207466,1,0,1,0,0,0,0,0,1
18.347,0.975000024,0,0,0,0,0.566436141,1,0,0,0,0,0,1,0,0,0.944710346,0,0,0,0.893545552,1,0.476892658,1,0,1,0.259713926,1,0,1,0,1,0,0,0,1
