Originating Time,Confidence,AU04_i,AU04_o,AU06_i,AU06_o,AU07_i,AU07_o,AU10_i,AU10_o,AU12_i,AU12_o,AU14_i,AU14_o,AU01_i,AU01_o,AU02_i,AU02_o,AU05_i,AU05_o,AU09_i,AU09_o,AU15_i,AU15_o,AU17_i,AU17_o,AU20_i,AU20_o,AU23_i,AU23_o,AU25_i,AU25_o,AU26_i,AU26_o,AU45_i,AU45_o
0,0.975000024,0,0,0.351656166,0,1.01962901,1,0,0,0,0,0,1,0,0,0.120485949,1,0,0,0.379859395,1,0,0,0.176842812,0,0.0769552,1,0,0,0,0,0,0,0.498501077,1
0.334,0.975000024,0,0,0.055212361,1,0.641468539,0,0,0,0,0,0,1,0.088976376,0,0.434387228,1,0,0,0.206186199,0,0,0,0,0,0,1,0,0,0,1,0,0,1.138419952,1
0.667,0.975000024,0,0,0.188350794,1,0.899786518,0,0,0,0,0,0.038348128,1,0,0,0.783599741,1,0.144201262,0,0.092803877,0,0,0,0.940786615,1,0,1,0.024827441,0,0,1,0,0,0.733776536,1
1.001,0.975000024,0,0,0.220397143,1,0.648445651,1,0,0,0,0,0,1,0,1,0.833858569,1,0.306146053,0,0.304900458,0,0,0,1.39532379,1,0.051789046,1,0,0,0,1,0,0,0.56497811,1
1.334,0.975000024,0,0,0.251103431,1,1.210071624,1,0,0,0,0,0,1,0,0,0.303469792,1,0,0,0.053521161,0,0,0,0.989094244,1,0.111935188,1,0.07385215,0,0,0,0,0,1.006266555,1
1.668,0.975000024,0,0,0.194069054,1,0.626411431,1,0,0,0,0,0,1,0.068076077,1,1.092746186,1,0.329317994,0,0.151785061,0,0,0,0.592477491,1,0,1,0,0,0,1,0,0,0.703454912,1
2.001,0.975000024,0,0,0.343137376,1,1.046306846,1,0,0,0,0,0,1,0,1,0.771662315,1,0.290892332,0,0.105973606,0,0,0,0.292570508,1,0.290034069,1,0,0,0,1,0,0,0.948324443,1
2.335,0.975000024,0,0,0.246733701,1,1.153730072,1,0,0,0,0,0,1,0,0,0.647845824,1,0.054416034,0,0.204531499,0,0,0,0.465821403,1,0.139898097,1,0,0,0,0,0,0,0.515184044,1
2.669,0.975000024,0,0,0,0,0.08994553,0,0,0,0,0,0,1,0.20406794,0,1.737437466,1,0.024689296,0,0.617244321,0,0,0,0,1,0.073506878,1,0,0,0,0,0,0,0.834564487,1
3.002,0.975000024,0,0,0.039696124,0,1.225752326,1,0,0,0,0,0,0,0.046192849,1,0.936130124,1,0.08841415,0,0.237203148,0,0,0,0.025850797,1,0.029451274,1,0,0,0,1,0,0,0.696334095,1
3.336,0.975000024,0,0,0,0,0.702390411,1,0,0,0,0,0,0,0,0,0.255642984,1,0.399527406,0,0.451376282,1,0,0,0.026758631,1,0.029994879,1,0,0,0,0,0,0,1.722834589,1
3.669,0.975000024,0,1,0.772233229,0,0.252488393,0,1.12925989,0,0.028841397,0,0,0,1.244963683,1,0.71507062,1,0,0,0.30625746,0,0,0,1.906930307,1,0,0,0.012756027,0,0,0,0.573365408,0,0,0
4.003,0.975000024,0,0,0.648963093,0,0,0,0.452123335,0,0.087096042,0,0,0,0.830647121,1,0.906284116,1,0,0,0.126974445,0,0.285457593,0,0.771846011,1,0,0,0,0,0,1,0,0,0,0
4.336,0.925000012,0,1,0,0,0,0,0,0,0,0,0,0,0.16988908,0,0.030038647,1,0.810695215,1,0.83313204,1,0,0,0.419348227,1,0,0,0,0,0,0,0,0,1.141404711,1
4.67,0.875,0,1,0.233626467,0,0,0,0,0,0,0,0.166786365,1,0,0,0,0,0.59853998,0,0.479008334,0,0,0,0.409185955,1,0.114307747,0,0,0,0,0,0.093620013,0,0.771288625,1
5.004,0.975000024,0,1,0,0,0,0,0,0,0,0,0,0,0.463461534,0,0.330673826,1,0.471539486,1,1.090632608,1,0,0,0.562466508,1,0.332612101,1,0,0,0,0,0,0,0.161983476,1
5.337,0.925000012,0,0,0,0,0.58253007,1,0,0,0,0,0,0,0.345967016,1,0.91623103,1,0.186112651,1,0.27677044,0,0,0,0.369643077,1,0,1,0,0,0,0,0,0,0.986742062,1
5.671,0.925000012,0,0,0.59143664,0,0,1,0.778595604,1,0.215823298,1,0,1,0,1,0,0,0.46337013,1,0.318874855,1,0,0,0.66333329,1,0.173246593,1,0,1,0,0,0,0,0.599382664,1
6.004,0.925000012,0,0,0.266046259,0,1.394468943,0,0,0,0,0,0,0,0.964497703,1,0,1,0,0,0.35171396,0,0,0,0,0,0.695053374,0,0,0,0.471664434,0,0,0,0,1
6.338,0.975000024,0,0,0,0,0.93455071,0,0.1569924,0,0.182955566,0,0,0,1.109841557,1,0,1,0,0,0.320436313,0,0,1,0,0,0.403610698,0,0,0,0.001634993,0,0,0,0,1
6.671,0.975000024,0,0,0,0,0.682483873,0,0,0,0.168125121,1,0,0,1.042579924,1,0.387528619,1,0,0,0.840518277,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7.005,0.925000012,0,0,0.115174188,0,0.481234138,1,0,0,0,0,0.025056782,1,0,1,0.432075729,1,0,1,1.041725403,1,0,0,0.277137291,1,0.127292264,1,0,1,0,0,0,0,0.677420339,1
