Filename,Error Start,Start React,End React
P1_OpenFaceOutput_a.csv,179,179,203
P2_OpenFaceOutput_a.csv,180,181,237
P3_OpenFaceOutput_a.csv,185,185,226
P4_OpenFaceOutput_a.csv,181,181,190
P5_OpenFaceOutput_a.csv,176,0,0
P6_OpenFaceOutput_a.csv,172,174,234
P7_OpenFaceOutput_a.csv,160,163,170
P8_OpenFaceOutput_a.csv,206,207,283
P9_OpenFaceOutput_a.csv,192,0,0
P10_OpenFaceOutput_a.csv,150,156,166
P11_OpenFaceOutput_a.csv,182,183,221
P12_OpenFaceOutput_a.csv,176,176,223
P13_OpenFaceOutput_a.csv,182,182,195
P14_OpenFaceOutput_a.csv,189,190,216
P15_OpenFaceOutput_a.csv,164,164,240
P16_OpenFaceOutput_a.csv,185,185,239
P17_OpenFaceOutput_a.csv,173,173,192
P18_OpenFaceOutput_a.csv,176,179,230
P19_OpenFaceOutput_a.csv,177,175,220
P20_OpenFaceOutput_a.csv,165,168,190
P21_OpenFaceOutput_a.csv,180,182,205
P22_OpenFaceOutput_a.csv,175,175,197
P23_OpenFaceOutput_a.csv,174,188,251
P24_OpenFaceOutput_c1.csv,202,190,241
P24_OpenFaceOutput_g2.csv,230,232,246
P24_OpenFaceOutput_p1.csv,175,176,183
P25_OpenFaceOutput_p2.csv,256,267,279
P25_OpenFaceOutput_c2.csv,235,234,252
P25_OpenFaceOutput_g1.csv,94,93,134
P26_OpenFaceOutput_g2.csv,195,193,253
P26_OpenFaceOutput_c1.csv,246,234,254
P26_OpenFaceOutput_p2.csv,148,141,170
P27_OpenFaceOutput_p1.csv,218,219,248
P27_OpenFaceOutput_c2.csv,200,197,215
P27_OpenFaceOutput_g1.csv,84,84,144
P28_OpenFaceOutput_p2.csv,240,239,275
P28_OpenFaceOutput_g1.csv,138,144,176
P28_OpenFaceOutput_c1.csv,135,147,174
